Código,Termo
3E-08-08-00-00-00-00,Elementos de sinalização
3E-08-08-02-00-00-00,Sinalização em letra dimensional
3E-08-08-04-00-00-00,Sinalização em painel
3E-08-08-06-00-00-00,Sinalização em poste e painel/coluna
3E-08-08-08-00-00-00,Sinalização com painel iluminado
3E-08-08-10-00-00-00,Sinalização com painel não iluminado
3E-08-08-12-00-00-00,Sinalização fotoluminescente
3E-08-08-14-00-00-00,Sinalização de mensagem eletrônica
3E-08-08-16-00-00-00,Sinalização flutuante
3E-10-00-00-00-00-00,Elementos de fundações
3E-10-02-00-00-00-00,Elementos de fundações diretas
3E-10-02-02-00-00-00,Bloco de fundação
3E-10-02-04-00-00-00,Sapata
3E-10-02-06-00-00-00,Fundação em grelha
3E-10-02-08-00-00-00,Radier
3E-10-04-00-00-00-00,Elementos de fundações profundas
3E-10-04-02-00-00-00,Estaca
3E-10-04-02-02-00-00,Estaca cravada a percussão
3E-10-04-02-04-00-00,Estaca cravada por prensagem
3E-10-04-02-06-00-00,Estaca franki
3E-10-04-02-08-00-00,Estaca de tubo de ponta fechada
3E-10-04-02-10-00-00,Estaca escavada rotativa
3E-10-04-02-12-00-00,Estaca escavada diafragma
3E-10-04-02-14-00-00,Estaca moldada strauss
3E-10-04-02-16-00-00,Estaca moldada raiz
3E-10-04-02-18-00-00,Estaca pré-moldada
3E-10-04-04-00-00-00,Tubulão
3E-10-04-06-00-00-00,Caixão de fundação
3E-12-00-00-00-00-00,Elementos de estruturas
3E-12-02-00-00-00-00,Elementos estruturais de forma ativa
3E-12-02-02-00-00-00,Estrutura de cabo
3E-12-02-04-00-00-00,Estrutura de tenda
3E-12-02-06-00-00-00,Estrutura de pneumático
3E-12-02-08-00-00-00,Estrutura de arco
3E-12-02-08-02-00-00,Arco funicular
3E-12-02-08-02-02-00,Arco achete
3E-12-02-08-02-04-00,Arcobotante
3E-12-02-08-02-06-00,Arco cego
3E-12-02-08-02-08-00,Arco cruzeiro
3E-12-02-08-02-10-00,Arco de ogiva
3E-12-02-08-02-12-00,Arco toral
