Código,Termo
3E-50-04-04-00-00-00,Difusor de insuflamento
3E-50-04-06-00-00-00,Difusor de retomo
3E-50-04-08-00-00-00,Grelha de insuflamento
3E-50-04-10-00-00-00,Grelha de retomo
3E-50-04-12-00-00-00,Tomada de ar extemo
3E-50-04-14-00-00-00,Ventilador para distribuição de ar
3E-50-06-00-00-00-00,Elementos para troca de calor de sistemas de refrigeração
3E-50-06-02-00-00-00,Evaporador para troca de calor de sistemas de refrigeração
3E-50-06-04-00-00-00,Condensador para troca de calor de sistemas de refrigeração
3E-50-08-00-00-00-00,Elementos de compressão de sistemas de refrigeração
3E-50-08-02-00-00-00,Compressor de êmbolo
3E-50-08-04-00-00-00,Compressor de parafuso
3E-50-08-06-00-00-00,Compressor de palheta
3E-50-08-08-00-00-00,Compressor centrífugo
3E-50-08-10-00-00-00,Compressor scroll
3E-50-10-00-00-00-00,Elementos de expansão de sistemas de refrigeração
3E-50-10-02-00-00-00,Ramal de expansão de sistemas de refrigeração
3E-50-10-04-00-00-00,Válvula de expansão de sistemas de refrigeração
3E-50-10-06-00-00-00,Depósito de água de expansão de sistemas de refrigeração
3E-50-10-08-00-00-00,Secador de expansão de sistemas de refrigeração
3E-50-10-10-00-00-00,Filtro de expansão de sistemas de refrigeração
3E-50-10-12-00-00-00,Termostato de expansão de sistemas de refrigeração
3E-50-10-14-00-00-00,Fréon de expansão de sistemas de refrigeração
3E-50-10-14-02-00-00,Fréon gasoso
3E-50-10-14-04-00-00,Fréon líquido
3E-50-10-16-00-00-00,Dreno de expansão de sistemas de refrigeração
3E-50-12-00-00-00-00,Elementos de sistemas de água gelada em sistemas de refrigeração
3E-50-12-02-00-00-00,Resfriador a água
3E-50-12-04-00-00-00,Resfriador a ar
3E-50-12-06-00-00-00,Fan coil
3E-50-12-08-00-00-00,Torre de resfriamento
3E-50-12-10-02-00-00,Torre atmosférica
3E-50-12-10-04-00-00,Torre de corrente de ar forçado
3E-50-12-10-06-00-00,Torre de corrente de ar induzido
3E-50-12-12-00-00-00,Bomba de água gelada
3E-50-12-14-00-00-00,Tanque de expansão
3E-50-12-16-00-00-00,Termoacumulação de gelo
3E-50-14-00-00-00-00,Elementos de expansão direta - condensação a água
3E-50-14-02-00-00-00,Bomba de água de condensação
3E-50-14-04-00-00-00,Caixa d'água de condensação a água
3E-50-16-00-00-00-00,Elementos de expansão direta - unidades compactas
3E-50-16-02-00-00-00,Unidade compacta de condensação a água
3E-50-16-04-00-00-00,Torre de resfriamento para unidades compactas
3E-50-16-06-00-00-00,Bomba para unidades compactas
3E-50-16-08-00-00-00,Ramal de recalque para unidades compactas
3E-50-16-10-00-00-00,Ramal de retomo para unidades compactas
3E-50-16-12-00-00-00,Registro de gaveta para unidades compactas
3E-50-16-14-00-00-00,Registro de globo para unidades compactas
3E-50-16-16-00-00-00,Válvula de retenção para unidades compactas
3E-50-18-00-00-00-00,Elementos para sistemas de expansão indireta de água gelada
3E-50-18-02-00-00-00,Entrada de água para sistemas de expansão indireta de água gelada
3E-50-18-04-00-00-00,Ladrão para sistemas de expansão indireta de água gelada
3E-50-18-06-00-00-00,Caixa de expansão para sistemas de expansão indireta de água gelada
3E-50-18-08-00-00-00,Bomba para sistemas de expansão indireta de água gelada
3E-50-18-10-00-00-00,Bomba de circulação para sistemas de expansão indireta de água gelada
3E-5018-12-00-00-00,Bomba de condensação para sistemas de expansão indireta de água gelada
3E-50-18-14-00-00-00,Resfriador para sistemas de expansão indireta de água gelada
3E-50-18-16-00-00-00,Depósito para sistemas de expansão indireta de água gelada
3E-50-18-18-00-00-00,Alimentador principal para sistemas de expansão indireta de água gelada
3E-50-18-20-00-00-00,Válvula de alívio de pressão para sistemas de expansão indireta de água gelada
3E-50-18-22-00-00-00,Válvula de três vias para sistemas de expansão indireta de água gelada
3E-50-20-00-00-00-00,Elementos para instalação central de água gelada
3E-50-20-02-00-00-00,Alimentação de água gelada
3E-50-20-04-00-00-00,Retorno de água gelada
3E-50-20-06-00-00-00,Alimentação de água de condensação
3E-50-20-08-00-00-00,Retorno de água de condensação
3E-50-20-10-00-00-00,Bomba para o sistema de condensação
3E-50-20-12-00-00-00,Bomba para o sistema de água gelada
3E-50-20-14-00-00-00,Resfriador para instalação central de água gelada
3E-50-20-16-00-00-00,Manômetro para instalação central de água gelada
3E-50-20-18-00-00-00,Termômetro para instalação central de água gelada
3E-50-20-20-00-00-00,Flow switch
3E-50-20-22-00-00-00,Flow meter
3E-50-20-24-00-00-00,Redução concêntrica para instalação central de água gelada
3E-50-20-26-00-00-00,Redução excêntrica para instalação central de água gelada
3E-50-20-28-00-00-00,Filtro de linha para instalação central de água gelada
3E-50-20-30-00-00-00,ortecedor de vibração para instalação central de água gelada
3E-52-00-00-00-00-00,Elementos de sistemas de aquecimento
3E-52-02-00-00-00-00,Elementos para sistemas de aquecimento solar ativo
3E-52-02-02-00-00-00,Coletor de placa plana
3E-52-02-04-00-00-00,Tanque de armazenamento para líquido quente
3E-52-02-06-00-00-00,Bomba para sistemas de aquecimento solar ativo
3E-52-02-08-00-00-00,Ventilador para sistemas de aquecimento solar ativo
3E-52-02-10-00-00-00,Serpentina para sistemas de aquecimento solar ativo
3E-52-02-12-00-00-00,Duto para sistemas de aquecimento solar ativo
3E-52-02-14-00-00-00,Difusor para sistemas de aquecimento solar ativo
3E-52-04-00-00-00-00,Elementos para sistemas de aquecimento hidrônico por água quente
3E-52-04-02-00-00-00,Caldeira para sistemas de aquecimento hidrônico por água quente
3E-52-04-04-00-00-00,Tanque de compressão para sistemas de aquecimento hidrônico por água quente
3E-52-04-06-00-00-00,Bomba para sistemas de aquecimento hidrônico por água quente
3E-52-04-08-00-00-00,Ramal de distribuição para sistemas de aquecimento hidrônico por água quente
3E-52-04-10-00-00-00,Válvula de pressão para sistemas de aquecimento hidrônico por água quente
3E-52-04-12-00-00-00,Válvula de controle para sistemas de aquecimento hidrônico por água quente
3E-52-04-14-00-00-00,Radiador de calor para sistemas de aquecimento hidrônico por água quente
3E-52-06-00-00-00-00,Elementos para sistemas de aquecimento a vapor
3E-52-06-02-00-00-00,Caldeira para sistemas de aquecimento a vapor
3E-52-06-04-00-00-00,Bomba de Vácuo para sistemas de aquecimento a vapor
3E-52-06-06-00-00-00,Ramal de alimentação para sistemas de aquecimento a vapor
3E-52-06-08-00-00-00,Ramal de retorno da água para sistemas de aquecimento a vapor
3E-52-06-10-00-00-00,Válvula de controle para sistemas de aquecimento a vapor
3E-52-06-12-00-00-00,Radiador para sistemas de aquecimento a vapor
3E-52-08-00-00-00-00,Elementos para sistemas de aquecimento por ar quente
3E-52-08-02-00-00-00,Combustor para sistemas de aquecimento por ar quente
3E-52-08-04-00-00-00,Ventilador para sistemas de aquecimento por ar quente
3E-52-08-06-00-00-00,Filtro de poeira para sistemas de aquecimento por ar quente
3E-52-08-08-00-00-00,Tanque de óleo para sistemas de aquecimento por ar quente
3E-52-08-10-00-00-00,Duto de insuflamento para sistemas de aquecimento por ar quente
3E-52-08-12-00-00-00,Duto de retorno para sistemas de aquecimento por ar quente
3E-54-00-00-00-00-00,Elementos de instalações de gases
3E-54-02-00-00-00-00,Elementos para instalações de gases combustíveis
3E-54-02-02-00-00-00,Elementos alimentadores em instalações de gases oombustíveis
3E-54-02-04-00-00-00,Elementos distribuidores em instalações de gases combustíveis
3E-54-02-04-02-00-00,Prumada de gases combustíveis
3E-54-02-04-04-00-00,Ramal de distribuição de gases combustíveis
3E-54-02-04-06-00-00,Sub-ramal de distribuição de gases combustíveis
3E-54-02-06-00-00-00,Elementos conectores em instalações de gases combustíveis
3E-54-02-08-00-00-00,Elementos controladores de fuxo em instalações de gases combustíveis
3E-54-02-08-02-00-00,Regulador individual para instalação de gases combustíveis
3E-54-02-08-04-00-00,Regulador coletivo para instalação de gases combustíveis
3E-54-02-10-00-00-00,Elementos medidores de consumo em instalações de gases combustíveis
3E-54-02-10-02-00-00,Medidor individual para instalação de gases combustíveis
3E-54-02-10-04-00-00,Medidor coletivo para instalação de gases combustíveis
3E-54-02-12-00-00-00,Elementos terminais em instalações de gases combustíveis
3E-54-04-00-00-00-00,Elementos para instalações de gases medicinais
3E-54-04-02-00-00-00,Elementos alimentadores em instalações de gases medicinais
3E-54-04-04-00-00-00,Elementos para tratamento em instalações de gases medicinais
3E-54-04-06-00-00-00,Elementos distribuidores em instalações de gases medicinais
3E-54-04-08-00-00-00,Elementos conectores em instalações de gases medicinais
3E-54-04-10-00-00-00,Elementos controladores de fluxo em instalações de gases medicinais
3E-54-04-12-00-00-00,Elementos para monitoramento de instalações de gases medicinais
3E-54-04-12-02-00-00,Painel de alarme de gases medicinais
3E-54-04-12-04-00-00,Painel repetidor de alarme para instalações prediais de gases medicinais
3E-540-4-14-00-00-00,Elementos terminais em instalações de gases medicinais
3E-54-06-00-00-00-00,Elementos para instalações de gases industriais
3E-54-06-02-00-00-00,Elementos alimentadores em instalações de gases industriais
3E-54-06-04-00-00-00,Elementos para tratamento em instalações de gases industriais
3E-54-06-06-00-00-00,Elementos distribuidores em instalações de gases industriais
3E-54-06-08-00-00-00,Elementos conectores em instalações de gases industriais
3E-54-06-10-00-00-00,Elementos controladores de fluxo em instalações de gases industriais
3E-54-06-12-00-00-00,Elementos para monitoramento de instalações de gases industriais
3E-54-06-12-02-00-00,Painel de alarme de gases industriais
3E-54-06-12-04-00-00,Painel repetidor de alarme para instalações prediais de gases industriais
3E-54-06-14-00-00-00,Elementos terminais em instalações de gases industriais
3E-54-08-00-00-00-00,Elementos para instalações de gases especiais
3E-54-08-02-00-00-00,Elementos alimentadores em instalações de gases especiais
3E-54-08-04-00-00-00,Elementos para tratamento em instalações de gases especiais
3E-54-08-06-00-00-00,Elementos distribuidores em instalações de gases especiais
3E-54-08-08-00-00-00,Elementos conectores em instalações de gases especiais
3E-54-08-10-00-00-00,Elementos controladores de fluxo em instalações de gases especiais
3E-54-08-12-00-00-00,Elementos para monitoramento de instalações de gases especiais
3E-54-08-12-02-00-00,Painel de alarme de gases especiais
3E-54-08-12-04-00-00,Painel repetidor de alarme para instalações prediais de gases especiais
3E-54-08-14-00-00-00,Elementos terminais em instalações de gases especiais
3E-56-00-00-00-00-00,Elementos móveis
3E-56-02-00-00-00-00,Elementos para comunicação visual
3E-56-04-00-00-00-00,Elementos de mobiliário
3E-56-06-00-00-00-00,Equipamentos móveis conectados às instalações elétricas
3E-56-08-00-00-00-00,Equipamentos móveis conectados às instalações hidráulicas
3E-58-00-00-00-00-00,Elementos de automação
3E-58-02-00-00-00-00,Elementos de automação predial
3E-58-04-00-00-00-00,Elementos de automação industrial
3E-60-00-00-00-00-00,Elementos de sistemas de proteção a descargas atmosféricas
3E-60-02-00-00-00-00,Elementos para a captação de descargas atmosféricas
3E-60-02-02-00-00-00,Para-raios
3E-60-02-04-00-00-00,Haste Franklin
3E-60-02-06-00-00-00,Haste ionizante
3E-60-02-08-00-00-00,Gaiola de Faraday
3E-60-04-00-00-00-00,Elementos para descida de descargas atmosféricas
3E-60-04-02-00-00-00,Condutor de interligação
3E-60-06-00-00-00-00,Elementos para a conexão de aterramento da descarga atmosférica
3E-60-06-02-00-00-00,Eletrodo para a conexão de aterramento da descarga atmosférica
3E-60-08-00-00-00-00,Dispositivos para sistemas de proteção a descargas atmosféricas
3E-60-06-02-00-00-00,Dispositivo de proteção contra surtos atmosféricos (dps-a)
3E-62-00-00-00-00-00,Elementos de proteção a incêndio
3E-62-02-00-00-00-00,Elementos para restrição ao surgimento e à propagação de incêndio
3E-62-02-02-00-00-00,Compartimentação horizontal
3E-62-02-04-00-00-00,Compartimentação vertical
3E-62-04-00-00-00-00,Elementos para controle de crescimento e supressão de incêndio
3E-62-06-00-00-00-00,Elementos de rede de gás para combate a incêndio
3E-62-08-00-00-00-00,Elementos de rede de proteção por espuma
3E-62-10-00-00-00-00,Elementos de rede de proteção por chuveiros
3E-62-10-02-00-00-00,Válvula de governo e alarme (vga)
3E-62-10-04-00-00-00,Câmara de retardo
3E-62-10-06-00-00-00,Registro de recalque
3E-62-10-08-00-00-00,Conexão de recalque
3E-62-10-10-00-00-00,Dispositivo de recalque
3E-62-10-12-00-00-00,Válvula redutora de pressão
3E-62-10-14-00-00-00,Barrilete de chuveiro automático para incêndio
3E-62-10-16-00-00-00,Prumada de chuveiro automático para incêndio
3E-62-10-18-00-00-00,Ramal de chuveiro automático para incêndio
3E-62-10-20-00-00-00,Terminal de chuveiro automático para incêndio
3E-62-12-00-00-00-00,Elementos de detecção de incêndio
3E-62-14-00-00-00-00,Elementos de alerta de incêndio
3E-62-16-00-00-00-00,Elementos de acesso e facilidade para operações de socorro
3E-62-18-00-00-00-00,Elementos de proteção estrutural em situações de incêndio
3E-62-20-00-00-00-00,Elementos de controle de fumaça e gases
3E-64-00-00-00-00-00,Elementos de segurança patrimonial
3E-64-02-00-00-00-00,Elementos para monitoramento por câmeras
3E-64-04-00-00-00-00,Elementos para monitoramento de presença
3E-64-06-00-00-00-00,Elementos para alertas sonoros
3E-64-08-00-00-00-00,Elementos para comunicação de ocorrência
3E-64-10-00-00-00-00,Elementos para controle de acesso
